,0
0,"И погода с утра шептала: ""Сходи на митинг, оторви попу от компьютерного кресла"" 😅"
1,"Пора решать вопрос о деприватизации систем жизнеобеспечения населения.
Мы проживаем в Сибири  и поэтому вопросы обеспечения населения теплом, газом и электроэнергией , это вопросы выживания граждане России , а это серьёзно е дело нельзя доверять НИ КОМУ,  в том числе последователям Чубайса и наследникам Солженицына"
2,может приклеится прозвище.... Гондольер
3,
4,"Почему народ нападает на нашего мэра???Да тут не только он виноват. Он новенький, влиянием и авторитетом пока не обзовелся. Тут вопрос больше к прокуротуре, почему городские службы не выполняют своих обязанностей????"
5,"[id112744386|Константин], потому что мэр представитель власти в городе. Не на кого больше нападать. Не с кого больше спросить. Нет разницы новенький или старенький. У него отдел юристов в подчинении, что бы работать с судами и прокуратурой. Мэр высказался в поддержку повышения тарифов."
6,"Ну не столько граждан. Гибдд добро не дали. Банально-как им самим на работу добираться на Горького? Сомневаюсь, что все сотрудники гибдд проживают за рекой. 😁"
7,"По поводу второй части поста я бы плспорил. Если скрытые проблемы есть-то лучше их найьи сейчас, чтобы не повторять эту эпопею в следующем году."
8,"Победа граждан???!!!! Хммм, это по запросу ГИБДД только сделали. Ну хотя, да там же тоже граждане работают, логично..."
9,"Что там с планами старого мэра о новом мосте в районе зелёного клина? Так бы не плохо сначала новый мост построить, а потом ремонтировать старый. Старые сказки пора забыть!
Новый мэр - новые сказки! Тащите лапшу будем слушать!"
10,"Пускай рядом с мостом ставят понтонную переправу, что за издевательства на жителями и гостями города!!!!"
11,"Ща, летом как всё хапнем комфорта в городе, 5-ти метровые сугробы будут вспоминаться с тоской в сердце"
12,"[id77748864|Никита], эй страницу открой)"
13,А там еще и не успеют вовремя все сделать.
14,"Я помню когда мост полностью закрывали на ремонт , в низу под мостом ставили понтоны,и по ним бесплатно проезжали .Правдо в те года машин не так много было . Мне кажется сейчас понтон один такой поток машин не вывезет ."
15,Как же туристы?
16,"А у меня внучатый племянник учится в 1 школе 1 класс, а живут за рекой, возле октября... И как?! Ребёнок школу бросать должен?!"
17,Реверс не решит проблему. При карпушкине с мостом такая же история была. Не сотрейте воздух по пусту. Без моста проблем полно. Главное что разобранном его не оставили 😢😆
18,Это что очередной рывок или прорыв без раскачки🤬
19,Ждите  и  будут  скачки 😄
20,"А когда пенсии и зарплаты начнут также расти,как тарифы ЖКХ???"
21,"[id368222375|Lubov], 🤣🤣🤣, прямо сами начали вдруг расти без забастовок, без стачек, без протестов, без активных профсоюзов."
22,"[id6743364|Владимир], прям так тарифы и ""упали"" с забастовками, протестами, и стачками и активными профсоюзами!!!"
23,"[id368222375|Lubov], под лежащий камень вода не течёт."
24,"[id6743364|Владимир], Что то по квитанциям  и оплате коммунальных платежей не заметно ,что тарифы в ""низ""ползут,а наоборот все выше и выше ,даже забастовки не помогают."
25,"[id368222375|Lubov], НУ ДА, а вы что, независимый профсоюз организовали или работу на предприятии останавливали? Или может с одиночным пикетом вышли хотя бы? С чего тарифам ещё бы не подрасти? На весь город 50 недовольных с красными флагами, а у остальных всё ОК. Раз приняли декабрьское повышение, вот вам ещё мартовское намечается. Что дальше?"
26,"[id6743364|Владимир], Ну да,сытый голодного не вразумит.У нас с вами доходы разные.Если пенсия у пенсионера 12300 р ,а коммуналка 8100,как жить??? Не думаю,что пикет,или что то другое изменит тарифы.В этой ситуации я вижу один выход: Организация Революции ,как в 1917 году, может тогда что то сдвинется."
27,"[id368222375|Lubov], революционной ситуации нет... все готовы ещё терпеть и терпеть, а организацию делать надо, что бы при возникновении ситуации было кому поднять красное знамя. Ну и вопрос: Вы будете делать организацию?"
28,"Это мероприятие уступим тем кто по моложе,мы пенсионеры можем поддержать.А вы бы занялись бы организацией?"
29,"[id368222375|Lubov], ну и насчёт как жить... приставам запрещено оставлять меньше прожиточного минимума с прошлого года... без намёков просто факт, ни к чему не призываю и не советую"
30,"А причем здесь пристава,они какое отношение имеют?"
31,"Сказка в стиле Джанни Родари. 
Не хватает только главного персонажа"
32,"[id506191335|Circ], расскажи вам сказку, где есть главный герой, вы сядете на лаву и будете его ждать."
33,👍☝️
34,"Там же, через неделю 😄"
35,"Социалистическая,из года в год,ни чего не меняется"
36,Цена вопроса почистить ливнёвку в этом месте
37,"Снег хотя бы раз за зиму надо было вывезти и все, а то даже почистить нормально так и сподобились, само протаяло"
38,У нас высокие требования к комфорту👍
39,Венеция)
40,Рыб только испугали😅
41,Где-то в параллельной вселенной к этому морю тянутся вереницы ассинизаторских машин для откачки с которыми новый мэр так своевременно заключил договоры.
42,"Да все депутаты одинаковые, только говорят что будут стараться, а сами ничего не делают!"
43,Почему тогда его график не соответствует документальному?)
44,"[id89752994|Юлия], вот сюда напишите.
https://www.zdravalt.ru/population/citizens-appeals/mail.php"
45,"[club26381326|Левый Бийск], все равно же что-нибудь наврут😁"
46,Браво!!!Благодарю всех кто борется за спасение мирных людей.
47,"Актуально!
Учитывая, что сейчас именно фашизм и поднимает голову!"
48,"[id13408214|Конрад], однозначно давить их, чтобы не высовывались больше."
49,"[id772978600|Елена], сейчас определимся на лекции, кто это такие, и начнём."
50,"И что, опять новый мэр виноват?🤭"
51,"В Ульяновской обл повысили тариф на вывоз мусора сразу на 20%, было 98 р, стало 119 р."
52,Кто бы сомневался...
53,"На таких людях мир и держится,благодарю за то что вы помогаете!!!"
54,"Молодцы. Прокуратура уже заметила протесты и недовольство граждан
Продолжайте"
55,Что думаете иза них вам всем тарифы снизят?
56,"[id397637243|Ира], Снизят, когда вы выйдете."
57,"Прокуратура проверит, скажит нарушений нет и ещё список доказательства предоставит, хха первый раз чтоль 😒"
58,Это не патриотические аватарки вешать с раскрашенными щеками под гос флаг. Поди дай государству новых героев.
59,"А нас не надо агитировать!
Не надо нам пропагандировать и рекламировать!
Условия создайте, придурки!
Был бы рад воспитывать пятерых детей.
Обеспечьте меня соответствующей зарплатой, чтобы я мог вырастить и воспитать их, обеспечьте им всем доступное и качественное образование, гарантированное трудоустройство на квалифицированные рабочие места, обеспечьте медицинское обслуживание, чтобы не приходилось часами ждать очереди или мотаться по городу за направлениями.
Обеспечьте медицинское обеспечение жене и роддом не у чёрта на куличках в ЦГБ.
Бригаду хирургов, чтобы она не умерла от третьего кесарева.
Обеспечьте нас всех жильём от государства, как это было в Советском Союзе.
Слабо?!
А теперь поймите, что даже на таких условиях я не хочу, чтобы мои дети были пушечным мясом в ваших кретинских СВО.
И тем более - вырастали оболваненными религией."
60,"[id13408214|Конрад], государство не просило вас рожать🤣"
61,"И как эта соц.реклама помогла в ситуации роста тарифов и переносе женской консультации? Любопытно, каким местом думал ""глава города""? 🤦‍♂️"
62,Нужна помощь в убийстве?
63,Если аборт это убийство то минет это каннибализм :)
64,"[id113960186|Артём], 😂😂😂👍"
65,На каком основании садики работают не по закону?По закону продлили до 19.30.
66,"[id20204760|Мать], говорят, что это было сделано только на время пандемии, а теперь так."
67,"[id20204760|Мать], мы никогда и не работали до 19.30. Где это такие законы? Точно не у нас"
68,"Надеемся, что разберутся. А то прокуратура Бийска объявила, что проверит и ушла в тишину."
69,"Если большая часть вашего дохода уходит на оплату коммунальных платежей, то вы живёте чтобы платить коммуналку, а не платите коммуналку чтобы жить."
70,Благославляю борющихся за правду.Да прибудет с вами силы богатырские.
71,"Пзц какой-то, людям не дают провести митинг."
72,"Можно провести митинг на стадионе""Юбилейный""? Никто никому не мешает."
73,"[id552894532|Наталья], только если вы его директор и это будет последнее, что вы сделаете на этой должности."
74,"[id6743364|Владимир], А мне кажется, что вы никогда не проведёте митинг, потому что выбираете те места, где знаете заранее, что вам ответят нет."
75,"[id552894532|Наталья], проведите вы. Приду выступлю, если пригласите."
76,"[id6743364|Владимир], как буду депутатом, обязательно при глашу, а пока жду ваших действий😉"
77,"[id552894532|Наталья], и я не депутат)))"
78,"[id552894532|Наталья], а вы думаете,что митинг можно провести в любом месте?Есть закон о митингах и они там строго обозначены."
79,"Я никак не могу понять при чем здесь инвалиды?! Там дети, здесь инвалиды, может больные головы в администрации?! Не может быть, чтобы они не понимали, что кроме озлобленности у людей их отказы ничего не вызывают, да ещё вопросы...."
80,Дитя не плачет - мать не разумеет! Молчание - знак согласия!
81,"[id382754960|Евгений], сгк не подходит на роль матери. Я не знаю ни одного случая снижения цены после жалобы по телефону в аб.отдел."
82,"[id173565227|Andrey], в прокуратуру!"
83,https://biwork.ru/news/53759-altajskij-ombudsmen-prokommentiroval-bespredel-s-tarifami-zkh
84,Жалоба диспетчеру мало чем отличается от молчания
85,Смешно жаловаться диспетчеру. Пожалуемся и что изменится???
86,"Мало что на женщин упала историческая миссия нарожать... но не всё так просто, а что делать времена такие. [осторожно сарказм]"
87,"""И в муках будешь рожать детей своих!""- цитата из библии. Похоже именно этого и добиваются оптимизаторы."
88,"Наивные тети, снимите розовые очки! Ваш покорный слуга и устроил вам ""оптимизацию"")) Причем здесь Томенко, он исполнитель."
89,"Довод о переводе женской консультации довольно нелепый придумали, что на втором этаже будет делаться ремонт,его никогда не делали в данной поликлинике? Как то обходились без перевода?Есть ещё 1 и 3 этажи, на них ни проще перевести на время ремонта. Почему в г. Бийске бесплатно эхо плода не делают, беременные женщины за 1.500 тыс. Данное исследование проходят? Травмпункт закрыли, навсегда, теперь то же с женской консультацией будет! Повышение рождаемости, демография на лицо забота о данной проблеме!!!!"
90,"[id352290435|Елена Козлова], здравствуйте, все обследования для беременных женщин, стоящих на учете в женских консультациях, проводятся бесплатно по ОМС. Помимо этого в рамках перинатального подобные обследования проводят в медорганизациях третьего уровня- перинатальных центрах, куда женщин направляют врачи женской консультации. В рамках скрининга женщины проходят УЗИ обследование, сдают анализы на генетические патологии, дополнительно лечащий врач-гинеколог может назначить проведение ЭХО-КГ плода или направить женщину на консультацию к узкому специалисту, которые работают в медучреждениях третьего уровня."
91,"[club172333158|Министерство здравоохранения Алтайского края],  знаю данную проблему не по наслышке, дочь на данный момент стоит на учëте в данной женской консультации, мало того, что при постановке на учëт по беременности, при заборе анализа крови, перепутали результат, приписав кучу не очень хороших болезней, хорошо, что группа крови и резус фактор подтвердил, что результаты перепутаны и только после этого выдали направления на повторную пересдачу анализа крови, после повторной пересдачи все диагнозы которые были поставлены по чужой крови не подтвердились, но тем не менее на просьбу переписать обменную карту, так как с такой картой, прямая дорога в патологию, переписать карту отказались!! И про Эхо плода-предложили пройти платно, обьяснив, что у нас в городе нет данного аппарата!!"
92,"[id352290435|Елена Козлова] чтобы мы могли разобраться в ситуации, просим оставить обращение на нашем официальном сайте в разделе ""написать обращение"" с указанием персональных данных дочери и контактного номера телефона для связи."
93,"Неужели у администрации совсем совести не осталось. Я бы со стыда сгорел на их месте. Таких талантливых людей как Павел Коробейников нужно на руках носить, а они издеваются."
94,"Совести ни на грамм. Сделали ледовый городок, а они нае#ать хотят. На следующий год вообще никто не согласится делать скульптуры и городок на новый год."
95,"Есть суд, есть судебные приставы, которые спишут со счета сколько нужно. 
Не надо ждать. 
Госпошлина, суд, приставы."
96,А чо его ещё не сдали? Я думал там люди живут. Его уже достроили лет 5 как.
97,прям как аватар должен блы выйти в 2016 году а вышел в 2023)
98,"Очень надеюсь, что этот образчик дендрофекального строительства всё-таки не примут - он реально опасен."
99,"Такой бардак, потому, что физическое лицо организовавшей юридическое, чаще всего при его банкротстве не отвечает своим личным имуществом."
100,"[id32117013|Евгений], по моему даже никогда. Юридическое отвечает при бонкротстве только имуществом компании. А там может быть 2 стула ноутбук и стол"
101,"[id148098807|Евгений], в этом и проблема.  Всякие аферисты специально создают юр. лица собирают деньги и банкротят. Так было за рекой по газу. Деньги собрал жулик, а строить ничего не стал. В итоге люди и без денег и без газа."
102,"Буду благодарен, если сбросите фотографии мэру."
103,А то он не видел и не знает🤣🤣🤣
104,😂😂😂
105,"Студеникина бы на пост обратно, вот это понимаю мэр как мэр)))"
106,"После увиденных платежек за январь людей, желающих выйти на митинг изрядно прибавится."
107,"[id27308042|Константин], свою ещё не видел, но говорят что на пару сотен меньше"
108,"[id6743364|Владимир], это по отоплению- а вот  кап.ремонт вырос на 50%, водоотведение и холодная вода выросли примерно на 30%."
109,Нам бы такого дядьку лютого в Бийске найти...
110,"[id6743364|Владимир], дай бы Господи, но я очень в этом сомневаюсь.... Кроме того, как я вижу, особо среди наших руководителей и депутатов немного тех, кто хоть как-то пытается решить эту проблему..."
111,Как дефект речи-200%корреспондент
112,"Даже митинг нельзя, вообще чтобы все молчали и сидели на опе ровно , а тарифы будут и дальше подниматься. Все для людей!"
113,"[id426419273|Ирина], люди боритесь за правду,не позволяйте вас обманывать."
114,"Боятся они, они ни чем не могут обосновать такой скачок и всем хочется усидеть в своём кресле, митинги это начало гражданской войны, потому и не дают согласие любыми способами, даже новый год готовы продлить🤗🤣"
115,"Как говорила Громогласова: ""Так начинался фашизм, наверное...."""
116,"[id6743364|Владимир], вот-вот))"
117,А судьи кто?
118,Вот вам и свобода слова .
119,Пусть каждый обманщик понесёт самое строгое наказание.
