,0
0,"Сменил снайпу на нож.
-4750$"
1,
2,скинул дроп
3,А они её потом домой утащили???🙄🤔
4,Дропнул авик сильверам
5,
6,"А у меня нет винтовки, но есть телефон всего за 2990р и я очень радуюсь 🙂"
7,Совсем как бы не заметно его
8,Лох🤣
9,
10,"Отнеситесь с пониманием, это отрицаетельный рывок"
11,"Это крепный российский ремонт, то вы сдать, а потом все развалится и можно еще раз выделить денег и разворовать."
12,"[id233830930|Максим], а омериканци нашим технологиям завидуют )))))"
13,Забыли майонез и кетчуп положить 🙃 я всегда так делаю...
14,в Белоруссии ты б за этот бутер лет на 5 бы загремел)
15,"[id757606147|Вазелиновый], хороший комментарий 🙂"
16,Так воду сушат потом катком греют и окончательно уже ламинируют.
17,"Русофобия — это когда ты не знаешь, как и чем живет твой народ. Не ходишь с ним по одним улицам, не ездишь в одном транспорте, ешь другую пищу. Когда ты мчишься с кортежем по пустым дорогам, а люди из-за тебя часами стоят в пробках. Когда перед твоим приездом в провинцию кладут однодневный асфальт и весёленько раскрашивают убогие хибары."
18,"[id190528506|Григорий], Русофобия — предвзятое, подозрительное, неприязненное, враждебное отношение к русскому народу, России, русскому языку, специфическое направление в этнофобии (в более узком смысле — страх перед Россией или курсом российской внешней политики). По мнению некоторых специалистов, русофобия, как и антисемитизм, в отличие от большинства других национальных фобий, часто выступает как цельная идеология, то есть как особый комплекс идей и концепций, имеющий свою структуру, систему понятий, историю генезиса и развития, а также свои типичные проявления. 

Бб"
19,Спасибо вам большое за такой труд если в. Не вы то Я бы провалился в яму и пострадала машина. Спасибо
20,Спасибо вам большое за такой труд если в. Не вы то Я бы провалился в яму и пострадала машина. Спасибо
21,"Просто все ноют,лужи,грязь,снег, лёд. Поэтому лужи убирают😆"
22,"Не делать и ждать пока просохнет будут бубнить, когда ямы заделают, делать будут бубнить что не по фен-шую"
23,В пидарашке ничего не меняется
24,"[id767288953|Яблочный],"
25,"С такими проще всего, сказал при первом же свидании, что влюбился, готов жениться, ребенка усыновишь, сделал дело, ушел))"
26,"[id133988739|Артём], нельзя так, она и так страданула🤣"
27,"[id558311383|خيقلل-هاذط], Как говорится, если терпила то по жизни(("
28,"кстати на второй фотке, если убрать узбечонка, то ниче такая)"
29,"[id133988739|Артём], жиза брат, жиза"
30,"[id133988739|Артём], пздц. На дешёвую китайскую копию Ленина похож, сам дрыщ, а ещё из себя мачо строит. Да ты внешне ей в миллиард раз проигрываешь. И любой девушке. Только убогая и согласится замутить. 
Всем бы такую уверенность в себе как страшилам"
31,"[id558311383|خيقلل-هاذط], а чё страдала то?)) Говорят процесс приятный, совсем не больно, разве что первый раз, но это не тот случай, уверен 😆😆😆"
32,"[id405251797|Елена], зачем так оскорблять его? Он верно сказал. И в таком положении, девушка не будет особо смотреть на внешность"
33,"[id405251797|Елена], во первых я на фото не очень получаюсь + обгорел на юге Казахстана, дрищ да и не спорю, но с Ильичем еще никто не сравнивал🤣, а с уверенностью да, потому что так делал, пройденно! У тебя вообще профиль закрыт, твою фотку глянуть, наверняка обиженка какае то, фемка 100кг🤣"
34,"[id9943430|Алексей], у украинок почему первый раз должен быть больно?"
