,0
0,Это и так было понятно . Опять неделю будут мусолить это все
1,"[id168071015|Елена], я уже боюсь снова открывать ленту новостей. Начнётся грязь и прочее 😩"
2,"[id25476376|Tatiana], вот и я о том же . Это их жизнь , их семья и то как они жили и какие правила у них в семье были не нам судить"
3,"[id168071015|Елена], конечно это их . Она в наглую водила любовника. Хотела отжать  квартиру. Не соглашалась на размен.  У мужика просто здали нервы.я его не оправдываю."
4,"[id469217622|Александр], для детей она мама , а он папа . Подумайте лучше о том каково  им все это читать и переживать все снова"
5,Говорящая фамилия преступника
6,"Прошу всех откликнуться. 
Кто знает АНТОНА ЧЕПНИКОВА (Чепа) 
Прошу передать ему мои контакты 
+79233122852 Whats App
Ищет сослуживец.
Очень важно."
7,Розыгрыш в смысле нае6алово или лотерея?
8,"[id497368991|Ефим], ни то ни другое. Это розыгрыш ваучеров на шиномонтаж, среди участников, которые выполнили простые условия. 1. Быть подписчиком группы [club181425425|@k22powerteam]. 2. Поставить лайк и сделать репост записи из группы [club181425425|@k22powerteam] и написать любой комментарий там же"
9,"Не ""Котовский"" случайно балуется?"
10,"[id765425619|Schwarzer], ммм... это который Григорий Иваныч? Так он уже как почти сто лет почил с миром!...Неужто воскрес?! ))))"
11,"[id16523123|Александр], нет не этот"
12,"[id765425619|Schwarzer], фух! А я уж думал, что я что-то пропустил))) А что тогда за тип - этот ""котовский"" ? Какой-то местный фулиган?"
13,"[id16523123|Александр], лазил тут шизоид один, фейки на всех создавал, да призывал военкоматы сжигать))) вот думаю это он, только с другого ракурса полез🤣"
14,"[id765425619|Schwarzer], ммм... а вон оно чё Михалыч))) так он поди уже, с такими лозунгами, в местах не столь отдалённых чалится?)"
15,"[id16523123|Александр], 🤣🤣🤣возможно)"
16,Каклы детектед
17,Сорвали очередной экзамен
18,"[id124621994|Артём], сессия в конце мая-начале июня,какие экзамены?"
19,"Весенняя сессия, ну да, слышал про такую))"
20,Хохлы проводят диверсии
21,Академию тоже заминировали
22,Твой ход отменился(
23,Врата в ад🤣
24,"[id71545181|Сергей], тоже хотела написать- это портал в ад"
25,"Я один раз тоже увидел провал в асфальте, на Ленина, оттель пар ипашил. Так мне потом пол дня звонили, выясняли! Почему в этом случае нет ни каких действий? Загадка... но жильцы я вижу не особо напряглись))) ждём новостей про провалившихся..(чёрный юмор)"
26,палка воткнута значит меры безопасности соблюдены
27,"[id322662957|Edvard], ""Не кидай палку! Пока не принял меры безопасности!"" )))"
28,Портал в ад 🤣
29,"вечером был совершен звонок в службу спасения
За 3 дня никто не приезжал устранить промоин

ну правильно, сейчас ещё мчс будет заниматься вашими промоинами. в водоканал то позвонить не судьба🤦‍♀"
30,Управляющая компания должна рулить
31,Скорей всех оштрафовать за грубейшее самоуправство.
32,"[id33401100|Hart],"
33,И это даже не ЕР. Вопеющий произвол.
34,"[id332209017|Александр], на жирика похож😂😂"
35,"[id455999267|Оксана], порошеныч)"
36,"[id455999267|Оксана], ну что-то есть😄"
37,"[id455999267|Оксана], глаза"
38,
39,"[id284097366|みはり], а ты в комнате сейчас у психолога или психиатра,  зачем ты вообще мне выслал своё фото с этой надписью?😄"
40,"[id284097366|みはり], или выслала, в общем кто ты там, что ты за потешное существо ?😄"
41,"[id284097366|みはり], нет у них денег на такое, остается только карательная психиатрия)"
42,А платить они так же будут как УК работает? Врядли... Но всё равно молодцы!
