,0
0,ДВУХГОЛОВЫЙ ОРЁЛ НЕ ИМЕЕТ ПОТОМСТВА!!!ПОЛЬШЕ ПОВЕЗЛО 😹☝️
1,"[id761961298|Volodymyr], ты невнимательный там не Орёл"
2,"МОЛОДЕЦ женщина! Когда наконец то русский народ откроет глаза и включит мозги! Женщина отправила на сайт Президента открытое письмо! Читайте, поддерживайте!

Обращение к Президенту! Уважаемый Владимир Владимирович!
Я решила написать это обращение после просмотра программы «Вести недели с Д. Киселёвым». Я до сих пор не могу погасить возмущение, которое я, и уверена, многие испытали, после совершенно отчуждённых от реальной жизни суждений этого горе обозревателя. Киселев, рассуждая на тему о повышении пенсионного возраста, саркастически высмеивал инициативы ряда партий донести мнение народа до зажравшихся депутатов. Киселеву не понравился сайт, где множество россиян, в том числе и я , подписали петицию против повышения пенсионного возраста. Противно было слушать этого выходца из Западной Украины Киселева, впитавшего ненависть к русскому народу с молоком предков, что русские люди не доживают до пенсии потому что они пьяницы и наркоманы!!! Как такого выродка , не державшего ничего тяжелее перьевой ручки, можно показывать по Центральному Российскому каналу? Он хочет спровоцировать Майдан в России? Сколько ещё такие ..... будут паразитировать на нас в нашей же стране???
Кто защитит русский народ от таких вот Киселевых?
Владимир Владимирович, Вы полетали на самолёте и узнали проблемы авиации, результат - авиация развивается, поплыли на корабле- и там пошло развитие... теперь мы просим: спуститесь к народу, но не один, а вместе с вечно спящим Медведевым, Матвиенко, Голодец и всеми министрами и главное, с разработчиками пенсионной реформы. Мы просим вас отработать вместе с шахтёрами смену в лаве, со сталеваром простоять смену у домны, с токарем - у станка, с комбайнером под палящим солнцем провести уборочную в комбайне при температуре, когда кровь уже должна свернуться... с врачом у операционного стола... Станьте хоть на месяц частью народа!!!!!!!!! А потом мы с вами на референдуме обсудим отношение к повышению пенсионного возраста! Стоять и махать руками и брызгать слюной ненависти к русскому народу как Киселев, любой может и до 100 лет. А работягами как быть, при том , что вы задушили налогами, медицина простым людям НЕДОСТУПНА, как им доживать до пенсии... А уж если говорить о наркомании и пьянстве, то не политика государства довела до этого??? Работы нет, обучение платное, в школах поборы, везде коррупция... Кто виноват , что народ довели до такого??? Не ваше ли правительство и дума, в которой нет ни юристов, ни экономистов, одни акробаты , певцы и шуты!!! Бесспорно, Владимир Владимирович, Вы потрясающий внешний политик, спасибо за престиж России!!! Но скоро не будет россиян и гордиться Россией будет некому! Повернитесь к народу, пока ещё не поздно!..
Уважаемые земляки, это касается каждого: касается вас, ваших детей, ваших внуков. Сразу после выборов власти России начали проводить странные эксперименты над собственным народом: повышают цены на бензин, пенсионный возраст, налог на добавленную стоимость. ""Слуги народа"" привыкли, что этот народ молчит, и считают, что с ним можно делать все что угодно. Будем молчать дальше – потеряем страну, лишим будущего наших детей. Если мы ""проглотим"" все это, то наше поколение войдет в историю, как поколение подлецов, а наши дети проклянут нас за бездействие и молчание. 

Повышение пенсионного возраста, рост цен на бензин, рост НДС – это то, что ставит нас перед выбором определиться: либо мы стадо овец, которых сначала стригут, а потом ведут на убой, либо мы народ, который избирает власть и заставляет ее работать. 

«Единая Россия», состоящая сегодня из депутатов-миллионеров, цинично поддерживает все эти инициативы, пытаясь нас убедить через центральные каналы, что это все во имя нашего блага. При этом с каждым годом они становятся еще богаче, а народ России - еще беднее. 

Теперь по порядку. Повышение пенсионного возраста означает, что за 5 лет мужчины недополучат 846 тыс. руб., а женщины 1 млн. 353 тыс. руб. В обмен правительство обещает поднять пенсию на 1000 руб. в месяц или 12.000 руб. в год или 120 тыс. руб. за десять лет. Соответственно, чтобы компенсировать недополученные деньги, мужчинам надо провести на пенсии 70 лет (и дожить до 135-ти), а женщинам - 113 лет (и дожить до 176-ти). Это самое циничное решение – поднимать пенсионный возраст до планки, до которой среднестатистический мужчина России не доживает. 

Повышение налога на добавленную стоимость (НДС) с 18 на 20 процентов нацелено на увеличение сборов именно с населения. В каждом чеке вы можете найти этот налог, плательщиком которого является не продавец, а покупатель. То есть всё, абсолютно всё, в России станет дороже, ПРИ ЭТОМ ОПЛАЧИВАТЬ ЭТО УДОРОЖАНИЕ БУДЕМ МЫ С ВАМИ ИЗ СВОЕГО КАРМАНА. 

Есть и выигравшие от этого решения – это экспортеры алюминия, круглого леса и других природных ресурсов. 
За последние два года число долларовых миллиардеров в России увеличилось на 29 человек, до 106. При этом число бедных в России за те же два года выросло на 2 млн. человек. 

Россия – крупнейший экспортер нефти. Но сегодня цена бензина в России выше, чем в соседних странах, покупающих нашу же нефть за доллары и по мировой цене. Сегодня официальный долг государственной компании Роснефть превысил 4 триллиона рублей. Еще раз – ЧЕТЫРЕ ТРИЛЛИОНА РУБЛЕЙ. Это больше, чем весь оборонный бюджет России. При этом правительство России помогает Дерипаске, Вексельбергу, Чубайсу, забыв при этом про собственный народ. 

Мы привыкли молчать и привыкли терпеть и этим они пользуются. 
Земляки, прошу вас, давайте сделаем одну простую законную вещь. Покажем власти, что мы единый народ, который надо уважать. Всероссийским объединением профсоюзов создана петиция против повышения пенсионного возраста. Она уже набрала более 1,5 млн. голосов. Давайте сделаем, так, чтобы она набрала 10 миллионов голосов. Не поленитесь, подпишите петицию. Если не можете, отправьте это сообщение всем своим знакомым по мессенджерам и социальным сетям. Разместите в группах, где это возможно. Времени не так много. Действуем в рамках закона, действуем вместе."
3,"[id492418339|Юрий], вы думаете, это обращение изменит психологию населения? Почитайте пожалуйста комментарии. Это сущности без мозгов. Сегодня им скажут это враги, они не раздумывая пойдут убивать, завтра сделают поправку, что это спасители пришли, они им в ножки упадут, а послезавтра, если будет нужно, донесут куда следует.Не нужно им ничего."
4,Админ группы-конченный ты
5,В Америке за детский труд эксплуатацию назначенный сорока. А в России?
6,"Почитайте, что пишут об CBO люди, ставшие очевидцами конфликта — vk.com/kotel__2022"
7,"Липецкая область это Россия или отдельное государство.Когда прекратится этот беспредел.Вашего Губернатора АРТАМОНОВА .Вся липецкая область гудит.люди массово пишут жалобы Путину и в прокуратуру.Но у вас куда не глянь все хорошо.Только создаете видимость бурной деятельности.А на деле ни какие проблемы не решаете... В липецкой области С февраля 2023 года детские пособия, будут поступать на счета получателей 3 числа – за предыдущий месяц. То есть февральские деньги родители получат 3 марта, мартовские – 3 апреля и т.д. 
которые были оформлены раньше по линии соцзащиты и поступали до 10 числа в месяц расчета, а не за прошлый месяц.решение липецких властей считаю незаконно.оно противоречит федеральному законодательству.здесь уже попахивает нецелевым использованием бюджетных средств.а это уже УК РФ.Как теперь семьи с детьми должны жить весь февраль без выплат.Считаю решение липецкой соцзащиты незаконным. недопустимо ухудшающим моральное и материальное состояние семей с детьми.Прошу в кратчайшие сроки привести график выплат пособий в соответствие с законодательством.Виновных привлечь к ответственности.Я отлично понимаю что ни кто ничего делать не будет.Но хоть люди будут знать. как на самом деле Российская власть заботится о семьях с детьми."
8,
9,Кто такой  Dodge Бог
