,0
0,Молодцы
1,👍
2,
3,
4,
5,
6,Молодцы 👍👍👍
7,ЛДПР партия дела
8,
9,
10,
11,
12,Хорошие новости
13,🙏🙏🙏🙏🙏🙏
14,Биографическая песня про В.Жириновского!
15,🙏Владимир Вольфович- навсегда😔
16,🤣🤣🤣🤣💪👍👍👍🔥
17,Жесть! 🤣🤣🤣🤣🤣! Иолодцы! !
18,Молодцы!!!
19,Как отреагировали?)
20,"Может, ЛДПР и со страховыми компаниями сможет разобраться? Ну реально невозможно без проблем застраховать автомобиль. Отказывают без объяснения причин, хотя по закону не имеют права. Сделайте несколько ""контрольных закупок"" и убедитесь сами. Это огромнейшая проблема."
21,"Да страховые в лоб отказывают в осаго на 6 мес ,тогда о каком месяце может идти речь 
Выплаты давно поднимать надо так как цены на запчасти космос и в большей части на ремонт не хватает суммы в 400 тыс"
22,Молодцы ребята!
23,Помогать конечно нужно .
24,"Помню, какой у меня и мамы был шок, когда на третий день выписки из роддома, приехали за мной на работу. Кто-то рожает для себя, как я . А кто-то для чужой тети. Садик придумала Крупская, у которой никогда не было своих детей и И.Арманд, которая своих бросила и никогда не вспоминала. Да было тяжело и материально, физически, но я своих вырастила без садика!!! С первым не было ни одного родственника, кроме мужа. Но я понимала если я выйду на работу, я всех подведу- будут бесконечные больничные!! Не ожидала такой инициативы!? Неужели работать не кому?"
25,"Какая несусветная глупость! Той, которая строит карьеру, подобные инициативы до лампочки. Она сама заранее все продумает и устроит. Кого вы хотите выгнать на работу через два месяца после родов? Медсестёр, продавцов, учителей? Похоже, вы там, в своих партиях и думах совсем забыли об истинном мужском предназначении. Уж лучше идите работать по-настоящему, а не прячьтесь за юбки тех, кто по вашему мнению просто мечтает из родзала рвануть в цех. Благодаря подобным инициативам мы уже поняли, что всю жизнь мечтали работать не разгибая спины, имея мало шансов на достойный период дожития."
26,
27,
28,Поздравляю
29,
30,"Поздравляю, Анну Сергеевну, с новым стартом! Пускай этот старт будет очень успешным и впереди вас ждет только карьерный рост, уважение начальства, признание коллег и постоянно растущий финансовый показатель!!!"
31,"Бесплатно стерилизовать это конечно хорошо, но.... Они не становятся добрее от этого... Даже стерильная собака может набросится на человека и даже стаей загрызть...."
32,
33,Здорово 👍👍👍)))))))))
34,👍👍👍👍👍👍
35,
36,"Да, на корабле  капитан обладает таким правом, в больнице главврач может заверить подпись и завещание, а во время исполнения воинских обязанностей- командир части, раньше для этого политруки и были. Но, нотариусы ,я думаю 🤔 обидятся!😉"
37,"[id365234283|Лена], начальники штаба сейчас уполномочены такими действиями, с их подписью и печатью документ считается заверенным. 😁"
38,
39,
40,ЛДПР помогает!
41,
42,Лыжи
43,
44,"Ссори, что не смог приехать, я с вами 💪"
45,🇷🇺💪🏼
46,👍🇷🇺
47,Молодцы 👍🏾🇷🇺
48,"Мама,я стал знаменит👋"
49,
50,👍
51,Горжусь ЛДПР👍
52,
53,Лдпр👍💪💪💪
54,Выражаю глубокую благодарность организаторам партийной школы ЛДПР за отличную возможность получить новые и полезные навыки по работе в партии
55,
56,"А вот интересно, туда всем можно было ехать или только избранным?"
57,"[id489949307|Анна], за два дня ни кто не может ответить?"
58,"[id489949307|Анна], информация передана в штаб, в ближайшее время с вами свяжутся"
59,Санёк лучший 💪прям вижу тебя депутатом в ближайшем будущем 😉
60,👍👍👍
61,Молодцы 👏
62,Лучше ни чего не говорите
63,ЛДПР против роста тарифов ЖКХ!
64,"Правильно так держать, рост цен по ЖКХ бешенный с этим нужно что-то делать👍"
65,"Ситуация критическая, необходимо принять меры, будь то снижение цен на жкх либо индексация пенсий и заработных плат"
66,"Согласен индексация пенсий и зарплат улучшит ситуацию  в лучшую сорону, главное чтобы в след за индексацией не последовало нового роста цен"
67,"Сколько можно, таких зарплат нет в Алтайском крае чтобы платить такие тарифы.😡"
68,"Задайте вопрос почему за Капремонт только в Алтайском крае берут сверху +3% при платежах, а в других регионах 1%.  Все платежи по банку больше, чем 1%  не облагаются за перевод.  И это каждый месяц, с каждого +2%, с учетом того, что везде в банках пишут коммуналка беспроцентно!!! Вот хорошее дело для ЛДПР!!"
69,
70,
71,"Всем кто принял участие , большое спасибо!"
72,
73,❤
74,
75,
76,
77,
78,Супер)
79,👏👏👏
80,"Не кроссовки а лапти, так получается?"
81,"[id56886268|Никита], лапти-скороходы."
82,"[id568885523|Артём], ахахах 🤣🤣🤣🤣👍👍👍"
83,Лишь это было не так :» Ulizia Lenina” как обозначили улицы в Админ-и АК. Кое-где остались!!🤣🤣
84,коротко и по делу!!
85,наша партия - сила !
86,"Я тоже хочу работать в лдпр,как мне стать частью команды????"
87,Молодцы👍
88,Спорт- залог здоровья. Молодцы
89,👍👍👍👍👍
90,Молодцы
91,
92,Молодцы ребята 👏
93,
94,Прекрасно😍
95,Великолепно✨✨
96,
97,👍
98,Молодцы.
99,
100,
101,
102,"Ну слухи же не просто так придумывают, по федеральным каналам каждый день про это говорят..."
103,🙏💛
104,"Доброе утро. Прощание с Пылевы м Юрием Александровичем состоится 3 февраля  с 12.45 до 13.45. Ритуальная служба ""Алтай"", (недалеко от конечной остановки автобуса)"
105,Светлая память..
106,Скорбим 😢😢😢
107,"Красавцы ребят👍так держать пусть им будет стыдно, позорники"
108,👍
109,👍👍👍
110,Молодцы 👏
111,👍
112,Никто кроме нас 💪
113,Молодцы 👏 лучшие из лучших 👍🏾
114,👍👍👍👍
