image_id,text,name,group,sub_group,emoji,train
0,Ухмыляющееся лицо,grinning face,Smileys & Emotion,face-smiling,😀,1
1,Ухмыляющееся лицо с большими глазами,smiling face with open mouth,Smileys & Emotion,face-smiling,😃,1
2,Улыбающееся лицо с улыбающимися глазами,smiling face with open mouth and smiling eyes,Smileys & Emotion,face-smiling,😄,1
3,Сияющее лицо с улыбающимися глазами,grinning face with smiling eyes,Smileys & Emotion,face-smiling,😁,1
4,Ухмыляющееся щурящееся лицо,smiling face with open mouth and tightly closed eyes,Smileys & Emotion,face-smiling,😆,1
5,Ухмыляющееся лицо с каплей пота,smiling face with open mouth and cold sweat,Smileys & Emotion,face-smiling,😅,1
6,Валяюсь по полу от смеха,rolling on the floor laughing,Smileys & Emotion,face-smiling,🤣,1
7,Лицо со слезами радости,face with tears of joy,Smileys & Emotion,face-smiling,😂,1
8,Слегка улыбающееся лицо,slightly smiling face,Smileys & Emotion,face-smiling,🙂,1
9,Перевернутое лицо,upside down face,Smileys & Emotion,face-smiling,🙃,1
10,Подмигивающее лицо,winking face,Smileys & Emotion,face-smiling,😉,1
11,Улыбающееся лицо с улыбающимися глазами,smiling face with smiling eyes,Smileys & Emotion,face-smiling,😊,1
12,Улыбающееся лицо с гало,smiling face with halo,Smileys & Emotion,face-smiling,😇,1
13,Улыбающееся лицо с сердечками,smiling face with smiling eyes and three hearts,Smileys & Emotion,face-affection,🥰,1
14,Улыбающееся лицо с глазами-сердечками,smiling face with heart shaped eyes,Smileys & Emotion,face-affection,😍,0
15,Улыбающееся лицо в благоговении,grinning face with star eyes,Smileys & Emotion,face-affection,🤩,1
16,Воздушный поцелуй,face throwing a kiss,Smileys & Emotion,face-affection,😘,1
17,Поцелуй,kissing face,Smileys & Emotion,face-affection,😗,1
18,Лицо со скромной улыбкой,white smiling face,Smileys & Emotion,face-affection,☺,1
19,Целующее лицо с закрытыми глазами,kissing face with closed eyes,Smileys & Emotion,face-affection,😚,1
20,Целующее лицо с улыбающимися глазами,kissing face with smiling eyes,Smileys & Emotion,face-affection,😙,1
21,Как вкусно!,face savouring delicious food,Smileys & Emotion,face-tongue,😋,1
22,Лицо с языком,face with stuck out tongue,Smileys & Emotion,face-tongue,😛,1
23,Подмигивающее лицо с языком,face with stuck out tongue and winking eye,Smileys & Emotion,face-tongue,😜,1
24,Шут,grinning face with one large and one small eye,Smileys & Emotion,face-tongue,🤪,1
25,Прищурившееся лицом с языком,face with stuck out tongue and tightly closed eyes,Smileys & Emotion,face-tongue,😝,1
26,Лицо с жаждой наживы,money mouth face,Smileys & Emotion,face-tongue,🤑,1
27,Обнимашки,hugging face,Smileys & Emotion,face-hand,🤗,1
28,Лицо с прикрывающей рот рукой,smiling face with smiling eyes and hand covering mouth,Smileys & Emotion,face-hand,🤭,1
29,Шишикающее лицо,face with finger covering closed lips,Smileys & Emotion,face-hand,🤫,1
30,Задумчивое лицо,thinking face,Smileys & Emotion,face-hand,🤔,1
31,Лицо с ртом на замке,zipper mouth face,Smileys & Emotion,face-neutral-skeptical,🤐,1
32,Лицо с поднятой бровью,face with one eyebrow raised,Smileys & Emotion,face-neutral-skeptical,🤨,1
33,Нейтральное лицо,neutral face,Smileys & Emotion,face-neutral-skeptical,😐,1
34,Лицо без эмоций,expressionless face,Smileys & Emotion,face-neutral-skeptical,😑,1
35,Лицо без рта,face without mouth,Smileys & Emotion,face-neutral-skeptical,😶,1
36,Ухмыляющееся лицо,smirking face,Smileys & Emotion,face-neutral-skeptical,😏,0
37,"Лицо, которому не смешно",unamused face,Smileys & Emotion,face-neutral-skeptical,😒,1
38,Лицо с закатанными глазами,face with rolling eyes,Smileys & Emotion,face-neutral-skeptical,🙄,1
39,Лицо с гримасой,grimacing face,Smileys & Emotion,face-neutral-skeptical,😬,1
40,Врущее лицо,lying face,Smileys & Emotion,face-neutral-skeptical,🤥,1
41,Умиротворенное лицо,relieved face,Smileys & Emotion,face-sleepy,😌,1
42,Задумчивое лицо,pensive face,Smileys & Emotion,face-sleepy,😔,1
43,Сонное лицо,sleepy face,Smileys & Emotion,face-sleepy,😪,1
44,"Лицо, пускающее слюни",drooling face,Smileys & Emotion,face-sleepy,🤤,0
45,Спящее лицо,sleeping face,Smileys & Emotion,face-sleepy,😴,1
46,Лицо c марлевой повязкой,face with medical mask,Smileys & Emotion,face-unwell,😷,0
47,Лицо c градусником,face with thermometer,Smileys & Emotion,face-unwell,🤒,1
48,Лицо с повязкой на голове,face with head bandage,Smileys & Emotion,face-unwell,🤕,1
49,"Лицо, которое тошнит",nauseated face,Smileys & Emotion,face-unwell,🤢,1
50,Лицо со рвотой,face with open mouth vomiting,Smileys & Emotion,face-unwell,🤮,1
51,Чихающее лицо,sneezing face,Smileys & Emotion,face-unwell,🤧,1
52,"Лицо, которому жарко",overheated face,Smileys & Emotion,face-unwell,🥵,1
53,"Лицо, которому холодно",freezing face,Smileys & Emotion,face-unwell,🥶,1
54,Пьяное лицо,face with uneven eyes and wavy mouth,Smileys & Emotion,face-unwell,🥴,1
55,Ошеломленное лицо,dizzy face,Smileys & Emotion,face-unwell,😵,1
56,Взрыв мозга,shocked face with exploding head,Smileys & Emotion,face-unwell,🤯,1
57,Лицо в ковбойской шляпе,face with cowboy hat,Smileys & Emotion,face-hat,🤠,1
58,Вечеринка,face with party horn and party hat,Smileys & Emotion,face-hat,🥳,1
59,Лицо в солнцезащитных очках,smiling face with sunglasses,Smileys & Emotion,face-glasses,😎,1
60,Ботаник,nerd face,Smileys & Emotion,face-glasses,🤓,1
61,Лицо с моноклем,face with monocle,Smileys & Emotion,face-glasses,🧐,1
62,Смущенное лицо,confused face,Smileys & Emotion,face-concerned,😕,1
63,Встревоженное лицо,worried face,Smileys & Emotion,face-concerned,😟,1
64,Слегка нахмурившееся лицо,slightly frowning face,Smileys & Emotion,face-concerned,🙁,1
65,Хмурое лицо,white frowning face,Smileys & Emotion,face-concerned,☹,1
66,Лицо с открытым ртом,face with open mouth,Smileys & Emotion,face-concerned,😮,1
67,Утихшее лицо,hushed face,Smileys & Emotion,face-concerned,😯,0
68,Удивленное лицо,astonished face,Smileys & Emotion,face-concerned,😲,1
69,Покрасневшее лицо,flushed face,Smileys & Emotion,face-concerned,😳,1
70,Умоляющее лицо,face with pleading eyes,Smileys & Emotion,face-concerned,🥺,1
71,Нахмурившееся лицо с открытым ртом,frowning face with open mouth,Smileys & Emotion,face-concerned,😦,1
72,Страдальческое лицо,anguished face,Smileys & Emotion,face-concerned,😧,1
73,Напуганное лицо,fearful face,Smileys & Emotion,face-concerned,😨,1
74,Встревоженное лицо с потом,face with open mouth and cold sweat,Smileys & Emotion,face-concerned,😰,1
75,"Грустное, но успокоенное лицо",disappointed but relieved face,Smileys & Emotion,face-concerned,😥,1
76,Плачущее лицо,crying face,Smileys & Emotion,face-concerned,😢,1
77,Громко плачущее лицо,loudly crying face,Smileys & Emotion,face-concerned,😭,1
78,"Лицо, кричащее в страхе",face screaming in fear,Smileys & Emotion,face-concerned,😱,1
79,Пораженное и смущенное лицо,confounded face,Smileys & Emotion,face-concerned,😖,0
80,Упорное лицо,persevering face,Smileys & Emotion,face-concerned,😣,1
81,Разочарованное лицо,disappointed face,Smileys & Emotion,face-concerned,😞,1
