,0
0,Ну вон же тебе рекламу лыж показывают. Лыжи купи и катайся на работу 🤣
1,На металлолом порезали в счёт Собянинских трамваев
2,"Ну вот, поднимем цены и…..говорили они"
3,"[id171494117|Наталья], так автобусов-то достаточно. Работать на них только некому. А тут уж хоть на сколько поднимай цену за проезд"
4,"55 для меня единственный автобус, котрый ходит нормально. Остальные абы как. Вчера на 104 собирался выходить на мать и дитя. Ехал от санатория Обь. Так он повёз меня аж до кордона. Я ему крикнул, но он не услышал. Ну я и начал непрерывно зажимать кнопку остановки. И только тогда он остановился. Как итог проехал 3 лишние остановки."
5,"[id747171656|Богдан],  мне было не принципиально где выходить, но все равно, глаза надо разуть"
6,"Шла утром из садика-на остановке Северо-Западная стояло человек 20...время уже почти 8 и люди просто не могут уехать.Большой автобус только 53...а 60,10 и 6 малипуськи."
7,"Вот, а за чистку дворов жители заплатили наверное из своего кармана больше миллиона"
8,👍👍👍👍👍👍👍👍
9,Меняйте УК
10,Молодцы
11,"[id763190139|Никита], не молодцы, а терпилы, надо было в прокуратуру накатать телегу, деньги то заплачены за уборку"
12,Ты прав
13,"[id311297217|Внук], терпилы? Терпилы - те, кто просто ноет в интернете во всех группах и ждёт, когда какой-то дядя придёт и всё им сделает. В прокуратуру написать недолго, а вот сидеть потом и ждать - неизвестно сколько. Так что, всё правильно мужики сделали, они сделали это для себя в первую очередь, потому что надоело терпеть. А ты глупо рассуждаешь"
14,"[id476281432|Мария], какой дядя, чë несëшь то? Народ за это платит деньги каждый месяц, почему должны ещë и сами чистить?"
15,Ни кому не нужное звено управления эти ук
16,💪💪💪
17,"Управляющие компании в любом доме-это шарлатаны,гнать которых нужно в шею,ссаными тряпками"
18,"Ул.Брестская , не возможно проехать от Ленина а сторону Комсомольского. Дороги ни кто не чистит. Здесь расположены школа 45 и дет. сад. Просим принять меры..."
19,"[id491183275|Igor], кого просите?"
20,Городские службы
21,"[id491183275|Igor], чего? Никогда в жизни не было проезда с брестской на комсомольский проспект, да и школ что то я там не припомню"
22,"[id491183275|Igor], им похyй"
23,"[id89445617|Михаил], может вы не житель Барнаула😏"
24,"[id491183275|Igor], да ладно ?"
25,"Разве не в сторону Комсомольского идёт, причём тут проезд на Комсомольский"
26,"[id491183275|Igor], я вам и написал что проезда с брестской на комсомольский проспект нет с не было никогда, вы в ответ начали интересоваться тем, где я живу, разве не так? И какие это школы на брестской, не расскажите ?"
27,45 школа имеет 2 выхода . На Союза Республик и Брестскую . Также и детсад рядом со школой возле д.Комсомольский 85  имеет 2 входа
28,"Я и не писал изначально, что ест  какой-то проезд. Просто направление"
29,УК этого и ждала
30,"Во молодцы. Сами заплатили сами почистили. Таких дураков поискать надо. Вместо того чтобы так же дружно решать вопрос с ук, написать в жилищную инспекцию, прокуратуру, сменить ук в конце концов они вышли во двор с лопатами."
31,Лапы этим двуногим животным оторвать 😡😡 Увижу их где-нибудь - в ж0пу эти поводки затолкаю 😡
32,"[id788550435|Annabelle], ты свою смотри не просри"
33,Тупорылые выб...ки.
34,Привлеките полицию. Где законы? Дебилы малолетние
35,"В полицию обращение, или участковому"
36,"[id7210278|Елена], [club60209337|ГУ МВД России по Алтайскому краю]"
37,Адрес какой?
38,"Одна в окно этот мазохим наблюдает и постит,вместо того,чтобы выйти и обьяснить детям,что так нельзя.другие тут злобой и агрессией исходят.с вами то все в порядке? Откуда добрым детям взяться- их окружает и воспитывает взрослая злая масса"
39,"[id95599552|Татьяна], читайте внимательно, по состоянию здоровья выйти из дома не может."
40,"в тошниловке этой режут очередного синяка, сотня парковку ищет"
41,"[id485917143|Никита], зато повод будет написать, что поздно приехали."
42,"У них нет спецсигналов,ду.ра. они им не положены ."
43,"[id770047840|Ленивый], да просто нарисовал тип какой-то на кио своей, а спецсигналы не нарисовал"
44,А нет им в лужу выходить. На дорогах придомовых у вас можно пройтись и ноги не промочить?
45,"Эта Сотня давно в Барнауле существует , мнение о них у многих и многих людей / шакалы /"
46,"О Т Ъ Е Б А Т Ь 
К О З Л О В"
47,"Что-то стали часто светиться в плохих новостях. То парня избили, то ездят где хотят🤦🏻‍♀️"
48,"Управы на них нету, безпредел😡"
49,"Не  ставят пешеходов ни во что..! Паркуются как попало, ни стыда ни совести..!😡"
50,"Это что, ЧПК? Частная полицейская компания? 🤣"
51,Лучше бы правую полосу заняли? Пройти спокойно можно.
52,"Кули толку, никто их не снизит"
53,"Если загуглить Стёпку Солженицына, то станет понятно, почему счета за отопление такие"
54,"Еще и вопрос , а когда отопление снизят ( температуру я имею ввиду ) . Дома дышать нечем , температура плюсовая за окном . Окна постоянно открытыми держать не можем - ребенок маленький дома .
А счет придет , как будто за окном минус 40"
55,"[id197853110|Мария], поставит счётчики и регулируйте сами тепло в доме."
56,Предлагаю всём просто сходить и помолиться!!! А все остольное не работает и не будет работать
57,"Коммунальные шарашки  расшатывают обстановку в стране в период СВО / идет война / , пытаясь обогатиться ."
58,Кто разрешил?
59,"Правильно сказал, у нас власть всегда под шумок цены поднимает, пенсионеры на пенсиях не живут а выживают"
60,Разрешили🤣🤣🤣🤣🤣🤣🤣👏👏👏
61,
62,👏👏👏👏👏👏 круто!!!
63,беда...😔
64,А что сапоги не т
65,"[id789612802|Гоша], есть скорее всего, но так не будет интереса🤷🏻‍♂️"
66,Водителями стариков точно нельзя брать
67,"[id677949372|Солнце], но берут…."
68,"А потом в новостях- у кого сердце,у кого инсульт прям за рулём"
69,Ну значит будет ясно и без  осадков.
70,Да что все валят на сигареты ? Всего 1 % возгарания от них специально то попробуйте зажечь палет от сигареты!? 🤦‍♂️
71,"[id33456580|Джон], это антикурильщики)"
72,А ветераны боевых действий относятся к этой категории?????
73,"На 3,3% не стыда не совести у властей, зато тарифы жкх на 9% а где то все 14,7%, и что с этими 3,3% а то есть с копейками  делать пенсионерам даже наверно 1кг мяса не купишь"
74,3.3%- это в деньгах сколько?
75,"[id175670323|Ольга], от 2000 много мне добавят?60 руб"
76,"[id197376077|Галина], Вот именно - подвластные СМИ, вроде Катунь 24, это не озвучивают, а только властьпридержащих восхваляют про 3,3 %."
77,"Россия, Щедрая Душа☝ Горбатись дальше 🤙платите налоги и содержите депутатов мэров министров губернаторов их детей и сосите х*й выживая"
78,"Как то странно. Контейнеры пустые, а вокруг мусор разбросан. А контейнеры да, ржавые, заменить точно давно пора"
79,"Мдя, там тот ещë контингент обитает"
80,"А какого хе₽а вы 5 месяцев бросаете мусор мимо контейнеров? Естественно, мусоровоз не будет этот мусор собирать, он только из контейнеров его забирает, мусорщику некогда лопатой ваше г@вно собирать. Научитесь сначала жить не как свиньи 👌"
81,"Возможно машина так забирает мусор, что попало в отсек, а что нет, а дворника нет?"
82,Зато местные жители-свиньи не бездействуют.
83,Ну может закрыли её раз пол года  не убирают 🤔
84,"Ну, как тут обойтись без бродячих собак? Хоть они будут кое-что подбирать за нами, свиньями. Иначе разведем крыс. Будем, как в Париже жить."
85,"Собраться толпой и убраться,религия не позволяет?!"
86,"Люди здесь не причём! Есть председатель, который получает з/п и бездействует.
Из 5 контейнеров , 1 сломан более 6 месяцев. А другие ржавые и дырявые."
87,"[id711240100|Алла], так его и заставьте убирать, или сами улицей собирайтесь и вперед уборка."
88,"Чисто не там,где убирают,а там,где не мусорят."
89,Лёд расстаял
90,Совсем без мозгов многие.
91,Ну к ночи ждите 10 раз списания с вашей карты!
92,"[id434953388|Катенька], +"
93,"Скорее всего,🤔 да"
94,"[id434953388|Катенька],  точно, у меня всегда есть наличка, но тут доча всю выгребла ( руб 300) ей надо было. И я осталась с картой, в трамвае 3 тоже сработало со 2 раза, и обратно также. Вечером списалось ещё 2 раза по 30. Блеск."
95,"Опять валидатор заглючил, а виноват пассажир.
Классика."
96,"[id188785851|Ольга], валидатор не так глючит. Это валидатор так работает, его таким сделали. Банк блокирует карты периодически, стоп-лист называется. Каждый кондуктор это знает, при этом ничего выходить не должно. Бывает ещё, что заведомо недействующие карты прикладывают и доказывают, что якобы валидатор не работает, требуют бесплатного проезда. Может, поэтому она ""завелась"". Или автор что-то не договаривает."
97,"[id620997071|Инесса], я в курсе прекрасно,  как работает валидатор и как он может заглючить. 
Дело не всегда в стоп листах, а в программе, а вы привыкли что у вас всегда пассажиры виноваты🤦‍♂️"
98,"[id188785851|Ольга], дело в программе, а пассажиры должны оплатить проезд. Так в правилах написано. Пассажиры не виноваты, кто вам такое сказал. 
Я сказала, что надо проверять этот инцидент. Случаев клеветы на кондукторов было много. А кондуктор имеет право предложить выйти и обналичить деньги, если карта в стоп-листе. Сам валидатор глючит обычно не на долго, и никто из-за этого не высаживает пассажиров."
99,"[id620997071|Инесса], ты пост ушами читала? Не по глазам, что пассажирка действующей картой пыталась оплатить проезд?
Стоп-лист придумала откуда-то,  кто тебе про него сказал?"
100,"[id188785851|Ольга], нет, не по глазам. Я эту карту не видела."
101,"[id620997071|Инесса], ну а что тогда придумываешь?"
102,"[id188785851|Ольга], не придумываю, а варианты перебираю и говорю, что проверить надо этот инцидент. Расследовать."
103,"Типо эта же штука билеты даже пустые без оплаты не выдаëт, так что да поездка за 300₽ моë почтение"
104,"Они и их верхушка, налик тырят🤷🏼‍♂️"
105,Знакомая ситуация.Многие с таким сталкиваются
106,"В трамваях есть камеры видио наблюдения, нужно присекать хамс тво кондукторов, если не рабочий валидатор, или кнопки специально нажаты не так, чтобы наличкой расчитывались, в этом нет вины пассажира"
107,"[id267564019|Наталья], кнопки там нельзя специально нажать. А вот заглючить валидатор может запросто, это же электроника) Завис, бывает.
Но винить при этом пассажира глупо."
108,"В том году, был случай со мной очевидно водитель не акти вировал валидатор, я расчиталась наличкой, ехала не одну остановку, а через некоторое время заработал валидатор, тогда я промолчала ехала на работу время как бы пожимало не хотелось скандалить, сделала вывод, когда хотят что то делают, вечером ехала все было хорошо, я уже полагала что что с  проездные не так, но было начало месяца....."
109,"Ну а чё б на карте дуре кондукторше не захотелось,чтобы было 10 лярдов?🤣"
110,"[id444594112|Александр], ну да, кондуктору  с валидатора на его баланс. Вы гений😴😵😵"
111,"У меня сегодня вечером подобная ситуация произошла в 53 автобусе, тоже хотела бы по благодарить молодого человека он рассчитался за нас с ребёнком, карта тоже не выдавала, ещё и час пик самый, хотела уже выйти где нибудь, снять с терминала наличку, кондуктор женщина тоже хорошая папалась спасибо большое🙏🙏🙏🙏"
112,"Не оставляйте такое хамство без ответа! Позвоните в диспетчерскую и укажите номер автобуса, и время поездки!"
113,"[id188322776|Маргарита], дура, разговор про трамвай"
114,"[id684548627|Светлана], если ты умная, то должна знать, что и там есть диспетчерская!"
115,"Идиотка, автобус и трамвай разные организации, когда пытаетесь с умничать, читайте и думайте, не позорьтесь, вас дети читают."
116,"[id188322776|Маргарита], это,наверное,и есть та кондукторша"
117,"[id684548627|Светлана], позоришься только ты, дети читают, а хамишь только ты, грубость пишешь, Хабалка"
118,"[id78175181|Никита], как часто вас провожают из транспорта, когда карта  не срабатывает. Кондуктору не капает, как вы думаете, получает прибыль Банк. А вы понять не можете, бедные, денег не видите, ну на карте есть, а в реале. Вас банк в стоп лист загнал. Потом с вас снимает по всем транзакциям. Это банки имеют. Мы ни копейки с этого не получаем."
119,Сочувствую🙏
120,грёбаный   ЕкибастуZ  и  барнауз !!!  вместе  со всей  этой  аппаратурой
121,а чего удалили про закрытие границ?😂 интернет всё помнит
122,"Никогда не было, и вот опять весна 🤣"
123,"Во всех дворах такая ситуация, ни ходить, ни ездить не возможно!"
124,"Спасибо тем,кто ливнёвки в асфальт закатал..."
125,"Такая же фигня.. Как хочешь так и иди.. До школы 500 метров.. Ленинский район... С. Гоньба  . По улице нет света .. С работы вечером нереально пройти.. И так 15 лет.. Как весна... Только обещание.. За то, за инфраструктуру деньги просят... Взносы... У вас в городе хоть местами асфальт.. А у нас асфальт со снегом ушёл.."
126,"[id710205123|Ирина], Ваш район закреплён за определённым депутатом, Вот и пусть проработает, а то про народ вспоминают, когда нужны голоса. ВЫ обращайтесь в АКЗ  Алтайского края, по поводу освещения, дороги и другим вопросам....."
127,"[id267564019|Наталья], При чем тут депутат."
128,"[id710205123|Ирина], ну тогда к батюшке надо обращаться"
129,Это не просто лужа.. Это ямы...самая большая по середине она глубокая ..
130,Сколько лет там жил столько там это лужа. Вот когда балтик стрита не было и лужа была на поляне.
131,Правильно
132,"У меня в школе был Тир в подвале, мы туда курить на переменах ходили.Негде больше было стрелять сигареты."
133,
134,"У нас в школе был тир, полоса препядствий и городок НВП. И НИЧЕГО плохого в этом  не было"
