,0
0,Ледокол 🤣
1,Красавец! Какая же удивительная природа😊 столько красоты вокруг а люди готовы всё уничтожить ради забавы.
2,"[id457697599|Анастасия], да какие это люди? Маленько не дотягивают"
3,Шикарный👍
4,"""краснокнижного"" )"
5,"[id56412943|Kaljn], косоглазого )
Справа конвергирующий страбизм"
6,Какой красивый )
7,Красавец
8,Каков красавец 😍
9,"Зачем ❓ ты собрался его убивать, (это тому кто стрелял в птицу, а сейчас читает это пост)"
10,Красавчик
11,Симпатяха
12,Почему таких уродов не садят
13,"Дбб, который позвонил. Если ты меня слышишь, уясни - не трогай студентов, школьников и другие детские учреждения. Лучше позвони себе, если тебе больше заняться нечем."
14,"[id620997071|Инесса], а если это укр? Вы думаете он вас послушает?"
15,"[id68582748|Антон], всё может быть. Если не послушает, то увидит и почувствует, как я ему глаз выбью."
16,Пары отменили (
17,"Везёт. А у нас 2 смена, нам ничего не отменяют, хотя тоже всех там выгнали."
18,"[id343485598|Tanya], а у вас тоесть пары будут?
Я сейчас видел, вся полиция уехала с политеха"
19,"[id375412978|Matvey], радуйтесь"
20,"Ну и??? Красавчик. Я так тоже иногда паркуюсь.( если нет нормального места) Главное, он никому не мешает"
21,"[id52504387|Алексей], а куча эта один х*й пока не растает лежать будет 🤣"
22,"[id765425619|Schwarzer], а чем ее уберешь? Это уже  теперь глыба льда. До июня таять будет)))"
23,"[id52504387|Алексей], у нас во дворе также паркуются😂"
24,"[id52504387|Алексей], боги уборки снега."
25,"Кому-то мешает? То, что он вылез из нее уже заслуживает уважения )))"
26,"[id55397867|Андрей], ага, самое сложное вылезти и залезть обратно:)) паджеро сила!"
27,Просто кто-то психанул👍
28,Покоритель вершин. Больших и малых)
29,"Нормальная парковка,для нормальной машины.Не на тротуаре,не на газоне,не у прохода.Пузотёркам завидовать спокойно."
30,Ну а что не так? Все по Фен Шую.
31,"[id790727533|Владимир], что бы масло из двигателя не вытекало!
😉"
32,"Двигатель скажет ""Спасибо"" при холодном пуске🤣
Масло же наверняка отлило от заборника🤦‍♂️"
33,"[id105799139|Максим], прикинь, если он просто скатится и потом заведёт"
34,"[id94531085|Мурат], возможно. Я на истину не претендую."
35,"И? Он что-то нарушил?
Там не газон, не пешеходка .
Какие претензии?
Нашел свободное парковочное место, как говорится - завидуйте молча))"
36,"[id31987447|Александр], в данном случае завидуют не только пешеходы, но и водители пузотёрок, которые не могут парковаться также)"
37,"[id68582748|Антон], а вот думать надо было, перед тем как выбирать, какую машинку покупать)))"
38,"[id31987447|Александр], да все думают, но не у всех денег хватает на покупку такой!)"
39,"Ну не надо брать с салона=) (таюем более, что наши салоны, как пишут - те ещё фрукты))"
40,"[id31987447|Александр], точно газона нет?"
41,И я так хочу парковаться 🙏
42,Удобно наверно вылазить
43,"Минприроды против природы, прелесть. Хорошо, хоть суд запретил."
44,"[id38382358|Даша], деньги природой не пахнут."
45,"Также и у нас можно отменить строительство башен на месте Речного вокзала, а также строительство многоэтажки на месте Цума и застройку сквера около пл. Сахарова, если поднять резонанс. Если не молчать, то всё можно"
46,"[id68582748|Антон], позно. Барнаул продан)"
47,"[id31987447|Александр], ничего не поздно. Можно осуществить возврат, а ещё лучше - возврат с процентами, чтобы больше ни у кого не возникло желание торговать землями. Если их не остановить, то такие товарищи скоро земли и врагу начнут продавать"
48,"[id68582748|Антон], пффффф. Хорошо, что я не начал пить кофе))"
49,"[id31987447|Александр], это очень хорошо! Кофе вреден"
50,"Вроде в центре живу, но все никак не увижу Змеева и Антоненко с плакатами на шее у здания городской управы.. Я не к тому, что с застройкой все в порядке, а к тому, что в этом паблике все такие могучие и неравнодушные, спасу нет.. Как и толку.."
51,"[id430676221|Вячеслав], рано нам ещё с плакатиками стоять! Вы просто не разбираетесь в наших планах видимо😁"
52,Базы запретите строить
53,"Кто везет на том и едут !!!
Нет что бы всем собраться и сходить в прокуратуру и решить раз и навсегда вопрос очистки . И установить графики ."
54,"[id422065162|Артемий], вы думаете что в прокуратуре не знают , и нет обращений , это совсем ни панацея"
55,"[id483511857|Вадим], не знаю как в вас прокуратура , у нас после обращения через два дня все почистили ."
56,"[id483511857|Вадим], вот и будут каждый год теперь сами убирать 🧹 круто 👍🏻 и дарили платить еще за уборку будете . А крыша побежит сами полезете ?"
57,"Ха! теперь УК разберут эти денюжки, заложенные на уборку, себе в карман!))"
58,Когда оштрафуют?
59,"[id89632277|Юрий], 
Пусть Управляйке выставят счёт за свои услуги 😆"
60,"Как то склоняюсь к мысли, что вариант ТСЖ(ТСН) более приемлемый. Всё таки председатель и правление живёт в том же доме."
61,"[id141482404|Дмитрий], тоже как повезет"
62,"[id7073727|Ольга], ну да, но председателя поймать в подъезде шансов больше 🤣🤣🤣"
63,"[id141482404|Дмитрий], да, только вот собрать в человейнике такое ТСЖ среди 200 квартир не так уж и просто. Не просто так во многих странах мира отказываются от многоэтажной застройки в пользу малоэтажки на 20 квартир"
64,"[id141482404|Дмитрий], много лет жила в доме с ТСЖ... Это просто ужас.. Никто ничего делать не будет... А дворник весь мусор с помойки снес в подвал... Ковры, кастрюли, мешки, сапоги и еще много чего... Когда увидели, что там в закрытых ячейках забито... Просто жесть... Выносить самим пришлось... Но годами натасканное не вынесешь на мусорку... Перешли в УК... Там уже другое руководство... Изменилось все в лучшую сторону..."
65,"[id556719935|Лариса], я то же жил 16 лет, дом на 360 квартир, бывали косяки конечно, но в целом нормально. Двор чистился, подъезды убирались, ремонты делались, меняли двери и окна в подъездах, ремонтировали крышу, покупали прибор регулирующий подачу отопления в зависимости от погоды (после сильно упали платежи за отопление)."
66,"[id141482404|Дмитрий], это вам повезло...все от людей зависит..."
67,"[id141482404|Дмитрий], в тсж есть один огромный минус - это стоимость в итоге обслуживания. Если ставить реальный ценник, по которому можно все действительно делать хорошо, то будет много должников. И кто тогда будет работать. В ук специалист обслуживает несколько домов, на том и вывозят. Дворника даже фиг найдешь сегодня, за три копейки никто не будет мести, мыть, сантехнику обслуживать, сейчас много где свои теплопункты - это отдельная статья расходов. И председатель тоже за 5 тыс не станет нормальный выслушивать все 💩 людское."
68,"[id11666051|Татьяна], согласен. Идеального варианта к сожалению нет."
69,"[id141482404|Дмитрий], у нас ТСЖ, председатель живёт в соседнем под""езде. Только ей нах.. ничего не нужно. Обидно, что все хотят что-то поменять, но никто не соглашается её заменить."
70,"[id141482404|Дмитрий], у нас  тсж , двор не раз не чистили , даже мусор управляйка вывозит на своем автомобиле . Бороться смысла нет , писали в администрацию индустриального района , они нарушений не видят . Так и живем … так что это спорно"
71,А ук такие как не чистим вот смотрите все почищено)))))
72,Пусть счёт в адрес УК выставляют за проведённые работы. Если я не ошибаюсь в законах есть такой пункт. Так что всё по закону будет.
73,"[id752178798|Юлия], 60 р час."
74,"[id719414989|ЖАННА], умножить на Кол-во людей, думаю сумма нормальная будет."
75,"[id752178798|Юлия], вы не правильно считаете делить нужно."
76,"[id752178798|Юлия], дворник получает 22 т  зарплаты 8 часовой день. Рабочих 22 дня. Получается примерно 110 р час. Разделить на всех."
77,"[id719414989|ЖАННА], Вы не правильно считаете.
Да в любом случае, не важна сумма, важен прецедент. Так же можно не только с уборкой, а со всеми услугами которое оказывает УК. И с ремонтом в подъездах и с герметизацией швов и т.д."
78,Ну во первых это здорово. Что сами почистили.  Красота чистота самим ходить приятно .Наверное дворников нет у вас. В новостях говорилось что не хватает дворников и зарплата 22 т.
79,УК вообще ленивые организации вот сколько разговоров о них не заводила с друзьями у многих упровляйка либо хреновая либо вообще забила на всё
80,"[id545545611|Гуля], вот поэтому и нужны ТСЖ. Вот только как их собрать в домах из 150-200 квартир? Мы вот в доме попытались собрать ТСЖ и не смогли"
81,Когда уже начнут управляйки наказывать за неисполнение своих обязанностей
82,"[id265689858|Юлия], никогда, пока заносят «куда надо».)))"
83,"Только если и будут наказывать, то штраф с денег дома пойдет....Из своего кармана они ничего не выплатят!"
84,"[id265689858|Юлия], вот молодцы, убрали, ща все УК так начнут делать."
85,"[id411819125|Лариса], надо из зп удерживать, как по решению суда, тогда может шевелиться начнут"
86,"[id411819125|Лариса], вы совершенно правы. Штраф в итоге жильцы сами и оплатят"
87,"У нас вообще дворник забыл как выглядят лом и лопата- круглый год с ведром и метёлкой. Все над ним ржут, матерятся, а ЖЭУ-37  Индустриального района на жалобы «забило». К нам теперь , Балтийская 59, и проехать , и пешком - проблема. Молодцы жильцы!! Наших так ни за что не организовать!!!"
88,Пора УК из частных рук убирать
89,"[id5696013|Виталий], вообще частники - зло! Ни медициной, ни строительством, ни перевозкой людей в автобусах дяди, заинтересованные в прибыли, не должны заниматься. Это социалка и заниматься этим должно государство"
90,Война дело такое….
91,"[id769454110|Вячеслав], дело не в войне. Губернатор же сказал, что никто никого не держит в регионе!)"
92,"[id38444189|Наталья], и отток специалистов, и мобилизация , все влияет конечно же, дефицит кадров в целом, дефицит квалифицированных кадров, но дальше только будет усиливаться, щас еще позаберут на войну, одни пенсионеры останутся"
93,"[id769454110|Вячеслав], да хватит вам тут эту СВО приписывать, сколько ж мобилизовали, что аж нехватка?!
Просто за такую зп никто не идёт.Пенсионеру это подработка, а вот молодому, это семья  ипотека и жена с детьми."
94,"[id769454110|Вячеслав], там не платят, лучше в другое место пойти. Там и условия получше."
95,"[id404808718|Ксюша], а что замалчивать ? Уже и так молчали сколько лет, теперь посмотрите к чему привело"
96,"[id769454110|Вячеслав], правильно. Надо было ещё 8 лет назад сво устроить. Молчали, молчали.."
97,"[id769454110|Вячеслав], ещё один кухонный писака-революционер!"
98,"[id236187992|Слава], и так появились  бы и зп и специалисты??? 🤣🤣🤣"
99,"[id236187992|Слава], вы про войну в смысле ?"
100,"[id769454110|Вячеслав], война началась в 14. Долго думали вступить или нет."
101,"Интересно, куда с рынка труда пропали молодые мужчины? Видимо, что-то случилось."
102,"у них нет опыта, а без опыта не нанимают)"
103,"[id770092219|Ecet], Все не так, ваше предположение ошибочно."
104,"[id17831756|Сергей], а может просто молодые конкретно забили,на подобную работу"
105,"[id314430789|Константин], Зарплата. В ее размере весь корень проблемы."
106,"[id314430789|Константин], а может просто за 25 т молодые не пойдут на такие работы?"
107,"[id314430789|Константин], да рыночек порешал, капитализм) по себе знаю, когда на стартовые должности за 3 копейки конкурс из 30 человек (не производство). В итоге даже с кандидатскими люди по специальности не идут работать.
А что касается рабочих специальностей - деньги всё решают. И работодатели вместо повышения зарплат, которые могли бы привлечь молодёжь, нанимают наиболее социально незащищенных специалистов - пенсионеров с опытом, которым так же платит низкие з/п. Учитывая демографическую яму потенциальных рабочих пенсионеров в разы больше, чем молодых людей, а дальше будет только хуже."
108,"[id770092219|Ecet], на сво"
109,"[id404808718|Ксюша], какие 25,я в сельском хозяйстве работаю,100тр уже никого не удивишь,за кадрами охота настоящая или в транспортных компаниях на технике работая 25?далеко не 25"
110,"[id314430789|Константин], на самом деле маленькая. На заводах разных. Зайди и посмотри."
111,"[id236187992|Слава], про заводы соглашусь"
112,А хорошие зарплаты готовы наниматься?
113,"[id170760746|Никита], зависит от твоего умения зарабатывать."
114,Работы нет и работать некому
115,"Окси работа есть, а вы готовы за 20к работать, когда ипотека по 18к"
116,И коммуналка ещё 10к
117,"[id72548640|Александр], сейчас меньше 35 мужикам мало где платят"
118,"Вот и правильно, а то уже в центре Москвы на наших точках прохода не дают."
119,"[id33401100|Hart],"
120,что то я не вижу интереса к своей персоне(мне 48) ибо нехватка рабочих рук это миф. Буржуям нужны безмолвные покорные рабы и пенсионеры подходят на эту роль идеально.
121,"[id471164115|Роман], смотря какая у вас специальность. Домой за вами никто не придёт, если только судебный пристав"
122,"[id392670959|Дмитрий], 2013-2019 мои хождения по собеседованиям превратились в игру в Джеймса Бонда. Посетил массу контор, везде одно и тоже . Сейчас не работать выгоднее чем работать"
123,"[id471164115|Роман], работающие за копейки желательно)"
124,"[id471164115|Роман], 48 лет сейчас,  а ты ходишь по конторам  с 2013, ты или с высокими требованиями или ленивый или просто тупой.😄"
125,"[id332209017|Александр], нежелание взглянуть правде в глаза всегда прикрывают эфемерными понятиями ленности и тупости, дальше такие как вы обвините всех Русских в генетической предрасположенности к вышеобозначенным порокам"
126,"[id471164115|Роман], какой правде? Если ты тупой что за такое время не смог найти достойную работу и в этом лишь ты виноват и не надо сваливать на других"
127,"[id332209017|Александр], Саша проснись!!! Ой как страшно расставаться с иллюзиями. Реальность явиться в каждый дом"
128,"[id471164115|Роман], я знаю по себе, а также у меня друзья ездиют из Черёмного в Барнаул и они нашли работу и получают от 50-100, но такие как ты только ноют, так что причина только в тебе"
129,"[id332209017|Александр], это где так платят, если не секрет?"
130,😀 как хорошо видна разница в интеллекте...
131,2 фактора: 1) низкая зп 2) сво
132,"[id141812347|Анатолий], полгода от мобилизации  , по вашему это причина,  резко забрали тысяч 100 специалистов квалифицированных  из Барнаула?
Такой смех вы пишете!"
133,"[id404808718|Ксюша], много кого забрали с мест, а обучать новых это - время, смотря какая специальность, да кого тут говорить зп смешная, люди стали на вахты гонять да на подработках, где больше платят, на предприятии каторга за гроши, работать ради того чтобы купить покушать и дальше работать, люди умнеть начали надеюсь и просто не идут горбатиться"
134,"[id141812347|Анатолий], много забрали? Это сколько в масштабах города?На вахты гоняют уже как лет 20...А вот зп, это первое и главное в этой проблеме!"
135,"[id404808718|Ксюша], я надеюсь просто, что люди поумнели и перестали идти за копейки, надеюсь это спровоцирует рост ЗП, а будут действительно пенсионеров трогать"
136,"[id141812347|Анатолий], вот, это факт! Потому и нехватка началась глобальная."
137,Депутатов нанимайте ⚠
138,"[id353881297|Евгений], так ты сам в депутаты иди, да стань вторым Жириновским."
139,Так уже последних пять лет. Не морочте голову.
140,Люди становятся умнее .А пердолиты готовые за любые копейки работать закончатся
