,0
0,"у вас крутая группа , рад за вас..."
1,
2,
3,
4,"Группа хорошая , фото лишнее"
5,Что. Жидотварная душонка колотится при виде красной звезды ? )
6,"[id620328437|Лейла], ты что чурка берега попутала"
7,"[id247055368|Виталий], 🤣,👍"
8,🙃
9,Ну так то пойдет ....
10,"Ну ,ОК,"
11,Фото бы поменяли))))
12,"[id164006017|Светлана], зачем менять память о лучшем времени."
13,"[id164006017|Svetlana], yeah very important, cool woman"
14,"Вы новости подавайте объективно, а не с какой-либо направленностью - меньше отписок будет"
15,"[id491522313|Николай], я не то что от новостей, от этой страны отписался. Дурдом))"
16,Все ОК
17,"[id160989446|Mikle], да не страна, психбольница"
18,😄😄
19,Группа хорошая! Остаюсь... Только в постах ошибок не делай админ!🤗
20,"Очнись милая Россия!Я тебя ,очень сильно прошу дорогая !!!"
21,"[id199453779|Сергей], чтоб бистрей сдохло ху*ло"
22,
23,
24,
25,Аккуратный домик был
26,"Оператор дежурил там, что-ли?😁"
27,"[id430721973|Ирина], действительно знал когда упадёт😄"
28,"[id41245777|Серега], или помог😜"
29,Вот вам и дома на берегу моря😳
30,☺
31,Дом был застрахован на большую сумму🤣🤣🤣
32,
33,"Ой как больно ,это же трагедия ,строили ,радовались.,детей растили  жизнь кипела и Все...."
34,Сколько лет уже этому видео?))) Опять сезон окучивать народ по теме 😃
35,Поплы́л другого хо́зя́ина́ искать.
36,
37,Цены
38,Мясо уже почернело. На шкуре ржавчина. Значит и соли не меряно.
39,"Печально, когда так торопятся побыстрее оказаться на небесах... Соболезнование родным."
40,Прям на Пасху. Ну и куда летел?😒
41,"Начался сезон хрустиков, печально то что стольких за собой потянут."
42,Аминь ему...ездить нужно тише🌹🌹
43,Обычная судьба хрустика!😒
44,"Видно, он жить не хотел ..."
45,🤣🤣🤣🤣
46,"Мчатся как бешеные,куда спешил,на тот свет,но вот успел."
47,Упал...
48,"Не разобрался со скоростью, упустил крен в повороте. Лег по правилам."
49,"Что то мало ему плачат, на пожиз.. и всю жизнь свою чтоб не слазил с шишки!!!"
50,"[id274192335|Роман], за это пожизненно  посадить выродка."
51,Как можно терпеть год? Значит всех все устраивало!!!
52,"[id103258197|Елена], тут вообще многое смущает. Заехала в гости к тете, где жил насильник. А потом отказалась от изнасилования, как вам такая формулировка?? У жертв ведь всегда есть выбор, не так ли?"
53,"[id103258197|Елена], идиот..."
54,"[id718721688|Mixa], не всегда!"
55,"[id103258197|Елена], может он сказал,что если кому то расскажет,то он он убьет ее родных.Девочка боялась."
56,"[id103258197|Елена], нет не соглашусь. 
Ы таком состоянии дети замыкаются, и здесь ещё не понятно, что он говорил ей, угрожал и тд. Поэтому вряд ли её устраивало"
57,Почему матери не рассказала
58,"[id750779719|Марк], и зачем пошла в гости к насильнику"
59,"[id222689102|Татьяна], поясните, где написано что это она к нему ходила?"
60,"[id484461592|Евгения], читайте пост"
61,"[id484461592|Евгения], простите, посмотрите видео, а потом объясните, пойдёте ли Вы в дом к тёте, если её сын насилует Вас год"
62,"[id222689102|Татьяна], пряник обещал ей дать"
63,"[id222689102|Татьяна], пряник обещал ей дать"
64,Смертная казнь ему.
65,"[id67668637|Артур], я согласна с вами, но нет у нас смертной казни а жаль, давно пора ввести."
66,"[id294445013|Наташа], придется потерпеть."
67,🤷‍♀️
68,От 5 до 16 ти а кому-то 25 за информацию
69,Пожизненно 😡👎
70,"От 6 до 15 - за насилие и убийство несовершеннолетней девочки, 🤦‍♂️мдаа наш суд самый гуманный суд в мире. Придурошные законы."
71,"[id350826048|Ирина], за хранение наркотиков дают больше,а тут такоё ,урод, разорвать его и кастрировать"
72,Год насиловал где были родители ? 👎
73,"[id496921040|Татьяна], дети,особенно запуганные ,никому не рассказывают,что с ними происходит."
74,"[id496921040|Татьяна], так родителям может вообще пофиг! Он деньги ей давал и ладно. Сколько таких случаев когда родители все знают и молчат ."
75,"[id342585674|Лана], печально."
76,"[id598610442|Валентина], надо дружить с ними больше общаться.доверять им а не игнорировать."
77,"[id496921040|Татьяна], не умнечайте))) Психологию учите."
78,На кол падлюку
79,Пожизненное Ублюдку. какие 15 лет!
80,
81,"Животное, и то умнее, чес человек!"
82,"[id742223788|Крис], тебя точно умнее."
83,Обидно
84,И долбит ещё специально🤣
85,Фанатка самсунга
86,Когда любишь андроид
87,Когда отправил в лс сообщение не тому человеку.
88,🤣👍
89,"Помню, много лет назад мужик к медведям в вольер опустил фотоаппарат на шнурке, дразнил, дразнил, медведь как попал, фотоаппарат вдребезги.
А в тем времена это достаточно дорогая вещь была"
90,Как мне «нравится» фраза - Без вложений….
91,Бедный кот  пусть тебе повезет в любящ семье
92,Молодец доктор!!! Спасибо Екатерине!!!
93,Спасибо тем кто спас его
94,Бедный котик
95,"Я в интернете не для того ,что бы плакать"
96,"[id787464734|Макс], не ваша группа летс гоу"
97,
98,Спасибо!
99,Бедный котейка!!!😢Живи долго и радуй своих хозяев!!!Спасибо спасителям!!!🙏❤❤
100,❤❤❤❤❤👍
101,Котик живи долго на радость своей хозяйке🙏🤗
102,Красава!
103,
104,Какой молодец
105,Опять какая то не законченная сказка …
106,Гребаные негры
107,"У него два телефона с собой или как? Он держит один в руке и тут же ведёт съёмку, мутная история"
108,
109,"Он студент и так, наверное, денег особо нет, еще и грабят🤣🤣🤣"
110,"Глупые угольки, он же после кумыса непобедим!"
111,Когда бахнул кумыса и догнался!
112,в этой стране вообще что-нибудь хорошее происходит?
113,"[id383711926|Kentaurus], 👌"
